startNode,endNode,label
1,5,5+
2,10,5+
3,15,5+
4,20,5+
5,25,5+
6,30,5+
8,40,5+
9,45,5+
10,50,5+
12,60,5+
15,75,5+
16,80,5+
18,90,5+
20,100,5+
24,120,5+
25,125,5+
27,135,5+
30,150,5+
32,160,5+
36,180,5+
40,200,5+
45,225,5+
48,240,5+
50,250,5+
54,270,5+
60,300,5+
64,320,5+
72,360,5+
75,375,5+
80,400,5+
81,405,5+
90,450,5+
96,480,5+
100,500,5+
108,540,5+
120,600,5+
125,625,5+
128,640,5+
135,675,5+
144,720,5+
150,750,5+
160,800,5+
162,810,5+
180,900,5+
192,960,5+
200,1000,5+
1,25,5+
2,50,5+
3,75,5+
4,100,5+
5,125,5+
6,150,5+
8,200,5+
9,225,5+
10,250,5+
12,300,5+
15,375,5+
16,400,5+
18,450,5+
20,500,5+
24,600,5+
25,625,5+
27,675,5+
30,750,5+
32,800,5+
36,900,5+
40,1000,5+
1,125,5+
2,250,5+
3,375,5+
4,500,5+
5,625,5+
6,750,5+
8,1000,5+
1,625,5+
