startNode,endNode,label
1,125,5+
1,128,2+
1,16,2+
1,2,2
1,2,2+
1,243,3+
1,25,5+
1,256,2+
1,27,3+
1,3,3
1,3,3+
1,32,2+
1,4,2+
1,5,5
1,5,5+
1,512,2+
1,625,5+
1,64,2+
1,729,3+
1,8,2+
1,81,3+
1,9,3+
10,160,2+
10,20,2
10,20,2+
10,250,5+
10,270,3+
10,30,3
10,30,3+
10,320,2+
10,40,2+
10,50,5
10,50,5+
10,640,2+
10,80,2+
10,810,3+
10,90,3+
100,200,2
100,200,2+
100,300,3
100,300,3+
100,400,2+
100,500,5
100,500,5+
100,800,2+
100,900,3+
108,216,2
108,216,2+
108,324,3
108,324,3+
108,432,2+
108,540,5
108,540,5+
108,864,2+
108,972,3+
12,108,3+
12,192,2+
12,24,2
12,24,2+
12,300,5+
12,324,3+
12,36,3
12,36,3+
12,384,2+
12,48,2+
12,60,5
12,60,5+
12,768,2+
12,96,2+
12,972,3+
120,240,2
120,240,2+
120,360,3
120,360,3+
120,480,2+
120,600,5
120,600,5+
120,960,2+
125,1000,2+
125,250,2
125,250,2+
125,375,3
125,375,3+
125,500,2+
125,625,5
125,625,5+
128,256,2
128,256,2+
128,384,3
128,384,3+
128,512,2+
128,640,5
128,640,5+
135,270,2
135,270,2+
135,405,3
135,405,3+
135,540,2+
135,675,5
135,675,5+
144,288,2
144,288,2+
144,432,3
144,432,3+
144,576,2+
144,720,5
144,720,5+
15,120,2+
15,135,3+
15,240,2+
15,30,2
15,30,2+
15,375,5+
15,405,3+
15,45,3
15,45,3+
15,480,2+
15,60,2+
15,75,5
15,75,5+
15,960,2+
150,300,2
150,300,2+
150,450,3
150,450,3+
150,600,2+
150,750,5
150,750,5+
16,128,2+
16,144,3+
16,256,2+
16,32,2
16,32,2+
16,400,5+
16,432,3+
16,48,3
16,48,3+
16,512,2+
16,64,2+
16,80,5
16,80,5+
160,320,2
160,320,2+
160,480,3
160,480,3+
160,640,2+
160,800,5
160,800,5+
162,324,2
162,324,2+
162,486,3
162,486,3+
162,648,2+
162,810,5
162,810,5+
18,144,2+
18,162,3+
18,288,2+
18,36,2
18,36,2+
18,450,5+
18,486,3+
18,54,3
18,54,3+
18,576,2+
18,72,2+
18,90,5
18,90,5+
180,360,2
180,360,2+
180,540,3
180,540,3+
180,720,2+
180,900,5
180,900,5+
192,384,2
192,384,2+
192,576,3
192,576,3+
192,768,2+
192,960,5
192,960,5+
2,10,5
2,10,5+
2,128,2+
2,16,2+
2,162,3+
2,18,3+
2,250,5+
2,256,2+
2,32,2+
2,4,2
2,4,2+
2,486,3+
2,50,5+
2,512,2+
2,54,3+
2,6,3
2,6,3+
2,64,2+
2,8,2+
20,100,5
20,100,5+
20,160,2+
20,180,3+
20,320,2+
20,40,2
20,40,2+
20,500,5+
20,540,3+
20,60,3
20,60,3+
20,640,2+
20,80,2+
200,1000,5
200,1000,5+
200,400,2
200,400,2+
200,600,3
200,600,3+
200,800,2+
216,432,2
216,432,2+
216,648,3
216,648,3+
216,864,2+
225,450,2
225,450,2+
225,675,3
225,675,3+
225,900,2+
24,120,5
24,120,5+
24,192,2+
24,216,3+
24,384,2+
24,48,2
24,48,2+
24,600,5+
24,648,3+
24,72,3
24,72,3+
24,768,2+
24,96,2+
240,480,2
240,480,2+
240,720,3
240,720,3+
240,960,2+
243,486,2
243,486,2+
243,729,3
243,729,3+
243,972,2+
25,100,2+
25,125,5
25,125,5+
25,200,2+
25,225,3+
25,400,2+
25,50,2
25,50,2+
25,625,5+
25,675,3+
25,75,3
25,75,3+
25,800,2+
250,1000,2+
250,500,2
250,500,2+
250,750,3
250,750,3+
256,512,2
256,512,2+
256,768,3
256,768,3+
27,108,2+
27,135,5
27,135,5+
27,216,2+
27,243,3+
27,432,2+
27,54,2
27,54,2+
27,675,5+
27,729,3+
27,81,3
27,81,3+
27,864,2+
270,540,2
270,540,2+
270,810,3
270,810,3+
288,576,2
288,576,2+
288,864,3
288,864,3+
3,12,2+
3,15,5
3,15,5+
3,192,2+
3,24,2+
3,243,3+
3,27,3+
3,375,5+
3,384,2+
3,48,2+
3,6,2
3,6,2+
3,729,3+
3,75,5+
3,768,2+
3,81,3+
3,9,3
3,9,3+
3,96,2+
30,120,2+
30,150,5
30,150,5+
30,240,2+
30,270,3+
30,480,2+
30,60,2
30,60,2+
30,750,5+
30,810,3+
30,90,3
30,90,3+
30,960,2+
300,600,2
300,600,2+
300,900,3
300,900,3+
32,128,2+
32,160,5
32,160,5+
32,256,2+
32,288,3+
32,512,2+
32,64,2
32,64,2+
32,800,5+
32,864,3+
32,96,3
32,96,3+
320,640,2
320,640,2+
320,960,3
320,960,3+
324,648,2
324,648,2+
324,972,3
324,972,3+
36,108,3
36,108,3+
36,144,2+
36,180,5
36,180,5+
36,288,2+
36,324,3+
36,576,2+
36,72,2
36,72,2+
36,900,5+
36,972,3+
360,720,2
360,720,2+
375,750,2
375,750,2+
384,768,2
384,768,2+
4,100,5+
4,108,3+
4,12,3
4,12,3+
4,128,2+
4,16,2+
4,20,5
4,20,5+
4,256,2+
4,32,2+
4,324,3+
4,36,3+
4,500,5+
4,512,2+
4,64,2+
4,8,2
4,8,2+
4,972,3+
40,1000,5+
40,120,3
40,120,3+
40,160,2+
40,200,5
40,200,5+
40,320,2+
40,360,3+
40,640,2+
40,80,2
40,80,2+
400,800,2
400,800,2+
405,810,2
405,810,2+
432,864,2
432,864,2+
45,135,3
45,135,3+
45,180,2+
45,225,5
45,225,5+
45,360,2+
45,405,3+
45,720,2+
45,90,2
45,90,2+
450,900,2
450,900,2+
48,144,3
48,144,3+
48,192,2+
48,240,5
48,240,5+
48,384,2+
48,432,3+
48,768,2+
48,96,2
48,96,2+
480,960,2
480,960,2+
486,972,2
486,972,2+
5,10,2
5,10,2+
5,125,5+
5,135,3+
5,15,3
5,15,3+
5,160,2+
5,20,2+
5,25,5
5,25,5+
5,320,2+
5,40,2+
5,405,3+
5,45,3+
5,625,5+
5,640,2+
5,80,2+
50,100,2
50,100,2+
50,150,3
50,150,3+
50,200,2+
50,250,5
50,250,5+
50,400,2+
50,450,3+
50,800,2+
500,1000,2
500,1000,2+
54,108,2
54,108,2+
54,162,3
54,162,3+
54,216,2+
54,270,5
54,270,5+
54,432,2+
54,486,3+
54,864,2+
6,12,2
6,12,2+
6,150,5+
6,162,3+
6,18,3
6,18,3+
6,192,2+
6,24,2+
6,30,5
6,30,5+
6,384,2+
6,48,2+
6,486,3+
6,54,3+
6,750,5+
6,768,2+
6,96,2+
60,120,2
60,120,2+
60,180,3
60,180,3+
60,240,2+
60,300,5
60,300,5+
60,480,2+
60,540,3+
60,960,2+
64,128,2
64,128,2+
64,192,3
64,192,3+
64,256,2+
64,320,5
64,320,5+
64,512,2+
64,576,3+
72,144,2
72,144,2+
72,216,3
72,216,3+
72,288,2+
72,360,5
72,360,5+
72,576,2+
72,648,3+
75,150,2
75,150,2+
75,225,3
75,225,3+
75,300,2+
75,375,5
75,375,5+
75,600,2+
75,675,3+
8,1000,5+
8,128,2+
8,16,2
8,16,2+
8,200,5+
8,216,3+
8,24,3
8,24,3+
8,256,2+
8,32,2+
8,40,5
8,40,5+
8,512,2+
8,64,2+
8,648,3+
8,72,3+
80,160,2
80,160,2+
80,240,3
80,240,3+
80,320,2+
80,400,5
80,400,5+
80,640,2+
80,720,3+
81,162,2
81,162,2+
81,243,3
81,243,3+
81,324,2+
81,405,5
81,405,5+
81,648,2+
81,729,3+
9,144,2+
9,18,2
9,18,2+
9,225,5+
9,243,3+
9,27,3
9,27,3+
9,288,2+
9,36,2+
9,45,5
9,45,5+
9,576,2+
9,72,2+
9,729,3+
9,81,3+
90,180,2
90,180,2+
90,270,3
90,270,3+
90,360,2+
90,450,5
90,450,5+
90,720,2+
90,810,3+
96,192,2
96,192,2+
96,288,3
96,288,3+
96,384,2+
96,480,5
96,480,5+
96,768,2+
96,864,3+
