startNode,endNode,label
1,125,5+
1,128,2+
1,16,2+
1,2,2
1,2,2+
1,243,3+
1,25,5+
1,256,2+
1,27,3+
1,3,3
1,3,3+
1,32,2+
1,4,2+
1,5,5
1,5,5+
1,512,2+
1,625,5+
1,64,2+
1,729,3+
1,8,2+
1,81,3+
1,9,3+
10,250,5+
10,50,5
10,50,5+
100,500,5
100,500,5+
108,324,3
108,324,3+
108,540,5
108,540,5+
108,972,3+
12,108,3+
12,300,5+
12,324,3+
12,36,3
12,36,3+
12,60,5
12,60,5+
12,972,3+
120,600,5
120,600,5+
125,625,5
125,625,5+
128,256,2
128,256,2+
128,384,3
128,384,3+
128,512,2+
128,640,5
128,640,5+
135,675,5
135,675,5+
144,432,3
144,432,3+
144,720,5
144,720,5+
15,375,5+
15,75,5
15,75,5+
150,750,5
150,750,5+
16,128,2+
16,144,3+
16,256,2+
16,32,2
16,32,2+
16,400,5+
16,432,3+
16,48,3
16,48,3+
16,512,2+
16,64,2+
16,80,5
16,80,5+
160,800,5
160,800,5+
162,486,3
162,486,3+
162,810,5
162,810,5+
18,162,3+
18,450,5+
18,486,3+
18,54,3
18,54,3+
18,90,5
18,90,5+
180,900,5
180,900,5+
192,576,3
192,576,3+
192,960,5
192,960,5+
2,10,5
2,10,5+
2,128,2+
2,16,2+
2,162,3+
2,18,3+
2,250,5+
2,256,2+
2,32,2+
2,4,2
2,4,2+
2,486,3+
2,50,5+
2,512,2+
2,54,3+
2,6,3
2,6,3+
2,64,2+
2,8,2+
20,100,5
20,100,5+
20,500,5+
200,1000,5
200,1000,5+
216,648,3
216,648,3+
24,120,5
24,120,5+
24,216,3+
24,600,5+
24,648,3+
24,72,3
24,72,3+
243,729,3
243,729,3+
25,125,5
25,125,5+
25,625,5+
256,512,2
256,512,2+
256,768,3
256,768,3+
27,135,5
27,135,5+
27,243,3+
27,675,5+
27,729,3+
27,81,3
27,81,3+
288,864,3
288,864,3+
3,15,5
3,15,5+
3,243,3+
3,27,3+
3,375,5+
3,729,3+
3,75,5+
3,81,3+
3,9,3
3,9,3+
30,150,5
30,150,5+
30,750,5+
32,128,2+
32,160,5
32,160,5+
32,256,2+
32,288,3+
32,512,2+
32,64,2
32,64,2+
32,800,5+
32,864,3+
32,96,3
32,96,3+
324,972,3
324,972,3+
36,108,3
36,108,3+
36,180,5
36,180,5+
36,324,3+
36,900,5+
36,972,3+
4,100,5+
4,108,3+
4,12,3
4,12,3+
4,128,2+
4,16,2+
4,20,5
4,20,5+
4,256,2+
4,32,2+
4,324,3+
4,36,3+
4,500,5+
4,512,2+
4,64,2+
4,8,2
4,8,2+
4,972,3+
40,1000,5+
40,200,5
40,200,5+
45,225,5
45,225,5+
48,144,3
48,144,3+
48,240,5
48,240,5+
48,432,3+
5,125,5+
5,25,5
5,25,5+
5,625,5+
50,250,5
50,250,5+
54,162,3
54,162,3+
54,270,5
54,270,5+
54,486,3+
6,150,5+
6,162,3+
6,18,3
6,18,3+
6,30,5
6,30,5+
6,486,3+
6,54,3+
6,750,5+
60,300,5
60,300,5+
64,128,2
64,128,2+
64,192,3
64,192,3+
64,256,2+
64,320,5
64,320,5+
64,512,2+
64,576,3+
72,216,3
72,216,3+
72,360,5
72,360,5+
72,648,3+
75,375,5
75,375,5+
8,1000,5+
8,128,2+
8,16,2
8,16,2+
8,200,5+
8,216,3+
8,24,3
8,24,3+
8,256,2+
8,32,2+
8,40,5
8,40,5+
8,512,2+
8,64,2+
8,648,3+
8,72,3+
80,400,5
80,400,5+
81,243,3
81,243,3+
81,405,5
81,405,5+
81,729,3+
9,225,5+
9,243,3+
9,27,3
9,27,3+
9,45,5
9,45,5+
9,729,3+
9,81,3+
90,450,5
90,450,5+
96,288,3
96,288,3+
96,480,5
96,480,5+
96,864,3+
