startNode,endNode,label
1,1,1
1,2,2+
1,3,3+
2,4,2+
1,5,5+
2,6,2+3+
4,8,2+
3,9,2+3+
2,10,2+5+
4,12,2+3+
3,15,2+3+5+
8,16,2+
6,18,2+3+
4,20,2+5+
8,24,2+3+
5,25,2+3+5+
9,27,2+3+
6,30,2+3+5+
16,32,2+
12,36,2+3+
8,40,2+5+
9,45,2+3+5+
16,48,2+3+
10,50,2+3+5+
18,54,2+3+
12,60,2+3+5+
32,64,2+
24,72,2+3+
15,75,2+3+5+
16,80,2+5+
27,81,2+3+
18,90,2+3+5+
32,96,2+3+
20,100,2+3+5+
36,108,2+3+
24,120,2+3+5+
25,125,2+3+5+
64,128,2+
27,135,2+3+5+
48,144,2+3+
30,150,2+3+5+
32,160,2+5+
54,162,2+3+
36,180,2+3+5+
64,192,2+3+
40,200,2+3+5+
72,216,2+3+
45,225,2+3+5+
48,240,2+3+5+
81,243,2+3+
50,250,2+3+5+
128,256,2+
54,270,2+3+5+
96,288,2+3+
60,300,2+3+5+
64,320,2+5+
108,324,2+3+
72,360,2+3+5+
75,375,2+3+5+
128,384,2+3+
80,400,2+3+5+
81,405,2+3+5+
144,432,2+3+
90,450,2+3+5+
96,480,2+3+5+
162,486,2+3+
100,500,2+3+5+
256,512,2+
108,540,2+3+5+
192,576,2+3+
120,600,2+3+5+
125,625,2+3+5+
128,640,2+5+
216,648,2+3+
135,675,2+3+5+
144,720,2+3+5+
243,729,2+3+
150,750,2+3+5+
256,768,2+3+
160,800,2+3+5+
162,810,2+3+5+
288,864,2+3+
180,900,2+3+5+
192,960,2+3+5+
324,972,2+3+
200,1000,2+3+5+
