annotation_id,source_id,line_number,tag,keyword,value
1,1,1,begin,@BEGIN,C3_C4_map_present_NA
2,1,3,in,@in,SYNMAP_land_cover_map_data
3,1,3,uri,@URI,inputs/land_cover/SYNMAP_NA_QD.nc
4,1,4,in,@in,mean_airtemp
5,1,4,uri,@URI,file:inputs/narr_air.2m_monthly/air.2m_monthly_{start_year}_{end_year}_mean.{month}.nc
6,1,5,in,@in,mean_precip
7,1,5,uri,@URI,file:inputs/narr_apcp_rescaled_monthly/apcp_monthly_{start_year}_{end_year}_mean.{month}.nc
8,1,7,out,@out,C3_fraction_data
9,1,7,uri,@URI,file:outputs/SYNMAP_PRESENTVEG_C3Grass_RelaFrac_NA_v2.0.nc
10,1,8,out,@out,C4_fraction_data
11,1,8,uri,@URI,file:outputs/SYNMAP_PRESENTVEG_C4Grass_RelaFrac_NA_v2.0.nc
12,1,9,out,@out,Grass_fraction_data
13,1,9,uri,@URI,file:outputs/SYNMAP_PRESENTVEG_Grass_Fraction_NA_v2.0.nc
14,1,17,begin,@BEGIN,fetch_SYNMAP_land_cover_map_variable
15,1,18,in,@in,SYNMAP_land_cover_map_data
16,1,18,uri,@URI,inputs/land_cover/SYNMAP_NA_QD.nc
17,1,19,out,@out,lon
18,1,19,as,@AS,lon_variable
19,1,20,out,@out,lat
20,1,20,as,@AS,lat_variable
21,1,21,out,@out,lon_bnds
22,1,21,as,@AS,lon_bnds_variable
23,1,22,out,@out,lat_bnds
24,1,22,as,@AS,lat_bnds_variable
25,1,41,end,@END,fetch_SYNMAP_land_cover_map_variable
26,1,45,begin,@BEGIN,fetch_monthly_mean_air_temperature_data
27,1,46,in,@in,mean_airtemp
28,1,46,uri,@URI,file:inputs/narr_air.2m_monthly/air.2m_monthly_{start_year}_{end_year}_mean.{month}.nc
29,1,47,out,@out,Tair
30,1,47,as,@AS,Tair_Matrix
31,1,55,end,@END,fetch_monthly_mean_air_temperature_data
32,1,59,begin,@BEGIN,fetch_monthly_mean_precipitation_data
33,1,60,in,@in,mean_precip
34,1,60,uri,@URI,file:inputs/narr_apcp_rescaled_monthly/apcp_monthly_{start_year}_{end_year}_mean.{month}.nc
35,1,61,out,@out,Rain
36,1,61,as,@AS,Rain_Matrix
37,1,69,end,@END,fetch_monthly_mean_precipitation_data
38,1,72,begin,@BEGIN,initialize_Grass_Matrix
39,1,73,out,@out,Grass
40,1,73,as,@AS,Grass_variable
41,1,80,end,@END,initialize_Grass_Matrix
42,1,84,begin,@BEGIN,examine_pixels_for_grass
43,1,85,in,@in,Tair
44,1,85,as,@AS,Tair_Matrix
45,1,86,in,@in,Rain
46,1,86,as,@AS,Rain_Matrix
47,1,87,out,@out,C3
48,1,87,as,@AS,C3_Data
49,1,88,out,@out,C4
50,1,88,as,@AS,C4_Data
51,1,124,end,@END,examine_pixels_for_grass
52,1,169,begin,@BEGIN,generate_netcdf_file_for_C3_fraction
53,1,170,in,@in,lon_variable
54,1,171,in,@in,lat_variable
55,1,172,in,@in,lon_bnds_variable
56,1,173,in,@in,lat_bnds_variable
57,1,174,in,@in,C3_Data
58,1,175,out,@out,C3_fraction_data
59,1,175,uri,@URI,file:outputs/SYNMAP_PRESENTVEG_C3Grass_RelaFrac_NA_v2.0.nc
60,1,225,end,@END,generate_netcdf_file_for_C3_fraction
61,1,230,begin,@BEGIN,generate_netcdf_file_for_C4_fraction
62,1,231,in,@in,lon_variable
63,1,232,in,@in,lat_variable
64,1,233,in,@in,lon_bnds_variable
65,1,234,in,@in,lat_bnds_variable
66,1,235,in,@in,C4_Data
67,1,236,out,@out,C4_fraction_data
68,1,236,uri,@URI,file:outputs/SYNMAP_PRESENTVEG_C4Grass_RelaFrac_NA_v2.0.nc
69,1,286,end,@END,generate_netcdf_file_for_C4_fraction
70,1,291,begin,@BEGIN,generate_netcdf_file_for_Grass_fraction
71,1,292,in,@in,lon_variable
72,1,293,in,@in,lat_variable
73,1,294,in,@in,lon_bnds_variable
74,1,295,in,@in,lat_bnds_variable
75,1,296,in,@in,Grass_variable
76,1,297,out,@out,Grass_fraction_data
77,1,297,uri,@URI,file:outputs/SYNMAP_PRESENTVEG_Grass_Fraction_NA_v2.0.nc
78,1,347,end,@END,generate_netcdf_file_for_Grass_fraction
79,1,349,end,@END,C3_C4_map_present_NA
