,startNode,endNode,weight
0,verbose,print_message,data-computation
1,get_predictor_matrix,predictor_matrix,computation-data
2,get_predictor_matrix,max_preds,computation-data
3,itrdb,get_predictor_matrix,data-computation
4,calibration_years,get_predictor_matrix,param-computation
5,min_width,get_predictor_matrix,param-computation
6,get_reconstruction_matrix,reconstruction_matrix,computation-data
7,itrdb,get_reconstruction_matrix,data-computation
8,prediction_years,get_reconstruction_matrix,data-computation
9,min_width,get_reconstruction_matrix,param-computation
10,get_predlist,predlist,computation-data
11,reconstruction_matrix,get_predlist,data-computation
12,get_carscores,carscores,computation-data
13,prism_data_for_coordinates,get_carscores,data-computation
14,predictor_matrix,get_carscores,data-computation
15,calculate_Models,linear_models,computation-data
16,predlist,calculate_Models,data-computation
17,carscores,calculate_Models,data-computation
18,max_preds,calculate_Models,data-computation
19,optimizeModels,paleocar_models,computation-data
20,linear_models,optimizeModels,data-computation
21,prediction_years_input_port,prediction_years,in/output-data
22,prism_data_for_coordinates_input_port,prism_data_for_coordinates,in/output-data
23,itrdb_input_port,itrdb,in/output-data
24,calibration_years_input_port,calibration_years,in/output-param
25,min_width_input_port,min_width,in/output-param
26,verbose_input_port,verbose,in/output-data
27,paleocar_models,paleocar_models_output_port,data-in/output
